"country","year","currency","inflation","stockmarket","domdebt","extdebt","banking"
"United States",1982,0,0,1,0,0,0
"United States",1983,0,0,0,0,0,0
"United States",1984,0,0,0,0,0,1
"United States",1985,0,0,0,0,0,1
"United States",1986,0,0,0,0,0,1
"United States",1987,0,0,0,0,0,1
"United States",1988,0,0,0,0,0,1
"United States",1989,0,0,1,0,0,1
"United States",1990,0,0,1,0,0,1
"United States",1991,0,0,1,0,0,1
"United States",1992,0,0,0,0,0,0
"United States",1993,0,0,0,0,0,0
"United States",1994,0,0,0,0,0,0
"United States",1995,0,0,0,0,0,0
"United States",1996,0,0,0,0,0,0
"United States",1997,0,0,0,0,0,0
"United States",1998,0,0,0,0,0,0
"United States",1999,0,0,0,0,0,0
"United States",2000,0,0,1,0,0,0
"United States",2001,0,0,1,0,0,0
"Canada",1867,0,0,0,0,0,0
"Canada",1868,0,0,0,0,0,0
"Canada",1869,0,0,0,0,0,0
"Canada",1870,0,0,0,0,0,0
"Canada",1871,0,0,0,0,0,0
"Canada",1872,0,0,0,0,0,0
"Canada",1873,0,0,0,0,0,1
"Canada",1874,0,0,0,0,0,0
"Canada",1875,0,0,0,0,0,0
"Canada",1876,0,0,0,0,0,0
"Canada",1877,0,0,0,0,0,0
"Canada",1878,0,0,0,0,0,0
"Canada",1879,0,0,0,0,0,0
"Canada",1880,0,0,0,0,0,0
"Canada",1881,0,0,0,0,0,0
"Canada",1882,0,0,0,0,0,0
"Canada",1883,0,0,0,0,0,0
"Canada",1884,0,0,0,0,0,0
"Canada",1885,0,0,0,0,0,0
"Canada",1886,0,0,0,0,0,0
"Canada",1887,0,0,0,0,0,0
"Canada",1888,0,0,0,0,0,0
"Canada",1889,0,0,0,0,0,0
"Canada",1890,0,0,0,0,0,0
"Canada",1891,0,0,0,0,0,0
"Canada",1892,0,0,0,0,0,0
"Canada",1893,0,0,0,0,0,0
"Canada",1894,0,0,0,0,0,0
"Canada",1895,0,0,0,0,0,0
"Canada",1896,0,0,0,0,0,0
"Canada",1897,0,0,0,0,0,0
"Canada",1898,0,0,0,0,0,0
"Canada",1899,0,0,0,0,0,0
"Canada",1900,0,0,0,0,0,0
"Canada",1901,0,0,0,0,0,0
"Canada",1902,0,0,0,0,0,0
"Canada",1903,0,0,0,0,0,0
"Canada",1904,0,0,0,0,0,0
"Canada",1905,0,0,0,0,0,0
"Canada",1906,0,0,0,0,0,1
"Canada",1907,0,0,0,0,0,0
"Canada",1908,0,0,0,0,0,1
"Canada",1909,0,0,0,0,0,0
"Canada",1910,0,0,0,0,0,0
"Canada",1911,0,0,0,0,0,0
"Canada",1912,0,0,0,0,0,1
"Canada",1913,0,0,0,0,0,0
"Canada",1914,0,0,0,0,0,0
"Canada",1915,0,0,0,0,0,0
"Canada",1916,0,0,0,0,0,0
"Canada",1917,0,1,0,0,0,0
"Canada",1918,0,0,0,0,0,0
"Canada",1919,0,0,0,0,0,0
"Canada",1920,0,0,0,0,0,0
"Canada",1921,0,0,0,0,0,0
"Canada",1922,0,0,0,0,0,0
"Canada",1923,0,0,0,0,0,1
"Canada",1924,0,0,0,0,0,0
"Canada",1925,0,0,0,0,0,0
"Canada",1926,0,0,0,0,0,0
"Canada",1927,0,0,0,0,0,0
"Canada",1928,0,0,0,0,0,0
"Canada",1929,0,0,1,0,0,0
"Canada",1930,1,0,1,0,0,0
"Canada",1931,0,0,1,0,0,0
"Canada",1932,0,0,1,0,0,0
"Canada",1933,0,0,0,0,0,0
"Canada",1934,0,0,0,0,0,0
"Canada",1935,0,0,0,1,0,0
"Canada",1936,0,0,0,0,0,0
"Canada",1937,0,0,0,0,0,0
"Canada",1938,0,0,0,0,0,0
"Canada",1939,0,0,1,0,0,0
"Canada",1940,0,0,1,0,0,0
"Canada",1941,0,0,1,0,0,0
"Canada",1942,0,0,0,0,0,0
"Canada",1943,0,0,0,0,0,0
"Canada",1944,0,0,0,0,0,0
"Canada",1945,0,0,0,0,0,0
"Canada",1946,0,0,0,0,0,0
"Canada",1947,0,0,0,0,0,0
"Canada",1948,0,0,0,0,0,0
"Canada",1949,0,0,0,0,0,0
"Canada",1950,0,0,0,0,0,0
"Canada",1951,0,0,0,0,0,0
"Canada",1952,0,0,0,0,0,0
